
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-21 10:17:55 /v1/models ....................................... ~ 1s
  2026-04-21 10:18:01 /v1/models ................................. ~ 500.81ms
  2026-04-21 10:18:07 /v1/models ................................. ~ 542.67ms
  2026-04-21 10:18:13 /v1/models ....................................... ~ 1s
  2026-04-21 10:18:20 /v1/models ....................................... ~ 1s
  2026-04-21 10:18:27 /v1/models ....................................... ~ 1s
  2026-04-21 10:18:33 /v1/models ....................................... ~ 1s
  2026-04-21 10:18:39 /v1/models ................................. ~ 501.01ms
  2026-04-21 10:18:44 /v1/models ....................................... ~ 1s
  2026-04-21 10:18:50 /v1/models ................................. ~ 500.48ms
  2026-04-21 10:18:56 /v1/models ................................. ~ 500.96ms
  2026-04-21 10:19:01 /v1/models ....................................... ~ 1s
  2026-04-21 10:19:07 /v1/models ................................. ~ 501.69ms
  2026-04-21 10:19:13 /v1/models ................................. ~ 538.33ms
  2026-04-21 10:19:19 /v1/models ................................. ~ 574.71ms
  2026-04-21 10:19:25 /v1/models ....................................... ~ 1s
  2026-04-21 10:19:32 /v1/models ................................. ~ 574.04ms
  2026-04-21 10:19:38 /v1/models ....................................... ~ 1s
  2026-04-21 10:19:44 /v1/models ....................................... ~ 1s
  2026-04-21 10:19:50 /v1/models ................................. ~ 509.92ms
  2026-04-21 10:19:56 /v1/models ....................................... ~ 1s
  2026-04-21 10:20:02 /v1/models ................................. ~ 573.49ms
  2026-04-21 10:20:08 /v1/models ................................. ~ 500.57ms
  2026-04-21 10:20:14 /v1/models ................................. ~ 574.56ms
  2026-04-21 10:20:20 /v1/models ................................. ~ 572.45ms
  2026-04-21 10:20:26 /v1/models ................................. ~ 575.49ms
  2026-04-21 10:20:32 /v1/models ................................. ~ 574.12ms
  2026-04-21 10:20:38 /v1/models ................................. ~ 574.57ms
  2026-04-21 10:20:44 /v1/models ................................. ~ 500.48ms
  2026-04-21 10:20:50 /v1/models ................................. ~ 573.06ms
  2026-04-21 10:20:56 /v1/models ................................. ~ 500.62ms
  2026-04-21 10:21:02 /v1/models ................................. ~ 575.58ms
  2026-04-21 10:21:08 /v1/models ....................................... ~ 1s
  2026-04-21 10:21:14 /v1/models ....................................... ~ 1s
  2026-04-21 10:21:21 /v1/models ................................. ~ 593.86ms
  2026-04-21 10:21:28 /v1/models ................................. ~ 500.60ms
  2026-04-21 10:21:34 /v1/models ................................. ~ 750.61ms
  2026-04-21 10:21:40 /v1/models ....................................... ~ 1s
  2026-04-21 10:21:47 /v1/models ....................................... ~ 1s
  2026-04-21 10:21:54 /v1/models ....................................... ~ 1s
  2026-04-21 10:22:00 /v1/models ....................................... ~ 1s
  2026-04-21 10:22:06 /v1/models ................................. ~ 572.26ms
  2026-04-21 10:22:12 /v1/models ................................. ~ 502.65ms
